movement_class,muscle_group,contraindication,tagged,group_size,coverage,inconsistent,examples_tagged,examples_untagged,tag_correct_for_this_movement__Y_N,coverage_correct__Y_N,missing_contraindications,reviewer_notes
(isolation),shoulders,pregnancy,1,62,2%,,Prone Y-T-W Raise,Alternating Kettlebell Press | Anti-Gravity Press | Arm Circles | Backward Medicine Ball Throw | Band Pull Apart | Barbe,,,,
(isolation),shoulders,rotator_cuff,62,62,100%,,Alternating Kettlebell Press | Anti-Gravity Press | Arm Circles,,,,,
(isolation),shoulders,shoulder_injury,62,62,100%,,Alternating Kettlebell Press | Anti-Gravity Press | Arm Circles,,,,,
deadlift,legs,bad_knee,50,52,96%,,Alternating Hang Clean | Axle Deadlift | Barbell Deadlift,Clean Shrug | Snatch Shrug,,,,
deadlift,legs,knee_replacement,50,52,96%,,Alternating Hang Clean | Axle Deadlift | Barbell Deadlift,Clean Shrug | Snatch Shrug,,,,
curl,biceps,rotator_cuff,1,51,2%,,Overhead Cable Curl,Alternate Hammer Curl | Alternate Incline Dumbbell Curl | Barbell Curl | Barbell Curls Lying Against An Incline | Cable ,,,,
curl,biceps,shoulder_injury,1,51,2%,,Overhead Cable Curl,Alternate Hammer Curl | Alternate Incline Dumbbell Curl | Barbell Curl | Barbell Curls Lying Against An Incline | Cable ,,,,
curl,biceps,wrist_injury,3,51,6%,,Standing Dumbbell Reverse Curl | Self-Resisted Biceps Curl | Towel Isometric Curl,Alternate Hammer Curl | Alternate Incline Dumbbell Curl | Barbell Curl | Barbell Curls Lying Against An Incline | Cable ,,,,
(isolation),core,bad_ankle,1,45,2%,,Wind Sprints,Ab Roller | Advanced Kettlebell Windmill | Air Bike | Alternate Heel Touchers | Barbell Ab Rollout | Barbell Ab Rollout ,,,,
(isolation),core,osteoporosis,6,45,13%,,Barbell Ab Rollout | Barbell Ab Rollout - On Knees | Barbell Side Bend,Ab Roller | Advanced Kettlebell Windmill | Air Bike | Alternate Heel Touchers | Barbell Rollout From Bench | Bottoms Up ,,,,
core,core,heart_disease,3,44,7%,,Crunch - Hands Overhead | Press Sit-Up | Seated Barbell Twist,3/4 Sit-Up | Ab Crunch Machine | Bent-Knee Hip Raise | Bosu Ball Cable Crunch With Side Bends | Cable Crunch | Cable Rev,,,,
core,core,herniated_disc,41,44,93%,,3/4 Sit-Up | Ab Crunch Machine | Bent-Knee Hip Raise,Medicine Ball Full Twist | Press Sit-Up | Seated Barbell Twist,,,,
core,core,hypertension,3,44,7%,,Crunch - Hands Overhead | Press Sit-Up | Seated Barbell Twist,3/4 Sit-Up | Ab Crunch Machine | Bent-Knee Hip Raise | Bosu Ball Cable Crunch With Side Bends | Cable Crunch | Cable Rev,,,,
core,core,lower_back_pain,40,44,91%,,3/4 Sit-Up | Ab Crunch Machine | Bent-Knee Hip Raise,Medicine Ball Full Twist | Press Sit-Up | Russian Twist | Seated Barbell Twist,,,,
core,core,osteoporosis,1,44,2%,,Russian Twist,3/4 Sit-Up | Ab Crunch Machine | Bent-Knee Hip Raise | Bosu Ball Cable Crunch With Side Bends | Cable Crunch | Cable Rev,,,,
core,core,pregnancy,40,44,91%,,3/4 Sit-Up | Ab Crunch Machine | Bent-Knee Hip Raise,Medicine Ball Full Twist | Press Sit-Up | Russian Twist | Seated Barbell Twist,,,,
core,core,rotator_cuff,3,44,7%,,Crunch - Hands Overhead | Medicine Ball Full Twist | Press Sit-Up,3/4 Sit-Up | Ab Crunch Machine | Bent-Knee Hip Raise | Bosu Ball Cable Crunch With Side Bends | Cable Crunch | Cable Rev,,,,
core,core,shoulder_injury,3,44,7%,,Crunch - Hands Overhead | Medicine Ball Full Twist | Press Sit-Up,3/4 Sit-Up | Ab Crunch Machine | Bent-Knee Hip Raise | Bosu Ball Cable Crunch With Side Bends | Cable Crunch | Cable Rev,,,,
squat,legs,bad_ankle,3,43,7%,,Freehand Jump Squat | Kneeling Jump Squat | Weighted Jump Squat,Barbell Full Squat | Barbell Squat | Barbell Squat To A Bench | Bodyweight Squat | Box Squat | Box Squat With Bands | Bo,,,,
squat,legs,bad_knee,43,43,100%,,Barbell Full Squat | Barbell Squat | Barbell Squat To A Bench,,,,,
